dammit|negative
tampering|negative
jazzed|positive|
#attfail|negative|negative|
#fail|negative|negative|
#fuck|negative|negative|
peculiar|negative|negative|
peculiarly|negative|negative|
peeled|negative|negative|
penalties|negative|negative|
pep|positive|positive|
pepped|positive|positive|
pepping|positive|positive|
peppy|positive|positive|
peps|positive|positive|
perfect|positive|positive|
perfection|positive|positive|
perfectly|positive|positive|
perfidity|negative|negative|
perhaps|neutral|neutral|
peril|negative|negative|
perplexing|negative|negative|
perplexity|negative|negative|
perseverance|positive|positive|
personable|positive|positive|
personalized|positive|positive|
pertinacity|negative|negative|
perversely|negative|negative|
perversion|negative|negative|
perversity|negative|negative|
perverted|negative|negative|
perverts|negative|negative|
pessimism|negative|negative|
pessimistically|negative|negative|
pest|negative|negative|
phenomenally|positive|positive|
phenominal|positive|positive|
phobia|negative|negative|
phoenomenal|positive|positive|
picket|negative|negative|
picketed|negative|negative|
picketing|negative|negative|
pickets|negative|negative|
piety|positive|positive|
pig|negative|negative|
pigs|negative|negative|
pimple|negative|negative|
pinnacle|positive|positive|
pissed|negative|negative|
pittance|negative|negative|
plainly|positive|positive|
plasticky|negative|negative|
plea|negative|negative|
pleadingly|both|both|
pleantiful|positive|positive|
pleasent|positive|positive|
pleases|positive|positive|
pleasing|positive|positive|
pleasingly|positive|positive|
pleasurable|positive|positive|
pleasurably|positive|positive|
pleasureable|positive|positive|
plentious|positive|positive|
plenty|positive|positive|
plesant|positive|positive|
plesent|positive|positive|
plesurable|positive|positive|
plight|negative|negative|
plunderer|negative|negative|
pluses|positive|positive|
plusses|positive|positive|
pokey|negative|negative|
poky|negative|negative|
politeness|positive|positive|
polution|negative|negative|
poorer|negative|negative|
poorest|negative|negative|
positives|positive|positive|
possible|neutral|neutral|
possibly|neutral|neutral|
poverty|negative|negative|
practically|neutral|neutral|
pratfall|negative|negative|
predicament|negative|negative|
preferable|positive|positive|
preferably|positive|positive|
prefered|positive|positive|
preferes|positive|positive|
preferring|positive|positive|
prefers|positive|positive|
prejudices|negative|negative|
preposterously|negative|negative|
prestige|positive|positive|
presumably|neutral|neutral|
presumptuous|negative|negative|
presumptuously|negative|negative|
pretentious|negative|negative|
pretentiously|negative|negative|
prettily|positive|positive|
pretty|positive|positive|
prevalent|positive|positive|
prevelant|positive|positive|
pricier|negative|negative|
prick|negative|negative|
pricks|negative|negative|
pride|positive|positive|
prik|negative|negative|
prime|positive|positive|
prison|negative|negative|
prisoner|negative|negative|
pristine|positive|positive|
privilege|positive|positive|
problem|negative|negative|
problem-free|positive|positive|
problem-solver|positive|positive|
procrastinates|negative|negative|
procrastination|negative|negative|
prodigiously|positive|positive|
prodigy|positive|positive|
productively|positive|positive|
profanity|negative|negative|
professional|positive|positive|
profoundly|positive|positive|
profusely|positive|positive|
profusion|positive|positive|
prominence|positive|positive|
promises|positive|positive|
promt|positive|positive|
pros|positive|positive|
prospros|positive|positive|
protection|positive|positive|
protested|negative|negative|
protesting|negative|negative|
prove|neutral|neutral|
proven|positive|positive|
proves|positive|positive|
providence|positive|positive|
proving|positive|positive|
prowess|positive|positive|
puffery|negative|negative|
pugnaciously|negative|negative|
pugnacity|negative|negative|
punk|negative|negative|
pushy|negative|negative|
puzzled|negative|negative|
puzzlement|negative|negative|
puzzling|negative|negative|
qualm|negative|negative|
quandary|negative|negative|
quarrellous|negative|negative|
quarrellously|negative|negative|
quarrels|negative|negative|
questionable|negative|negative|
quibbles|negative|negative|
quick|positive|positive|
quicker|positive|positive|
quiet|positive|positive|
quieter|positive|positive|
quite|neutral|neutral|
quitter|negative|negative|
rabid|negative|negative|
racist|negative|negative|
racists|negative|negative|
racy|negative|negative|
radiance|positive|positive|
radical|negative|negative|
radically|negative|negative|
radicals|negative|negative|
raked|negative|negative|
rancor|negative|negative|
randomly|negative|negative|
rant|negative|negative|
ranted|negative|negative|
rantingly|negative|negative|
rants|negative|negative|
rape|negative|negative|
raped|negative|negative|
rapid|positive|positive|
raping|negative|negative|
rapport|positive|positive|
rapture|positive|positive|
raptureously|positive|positive|
rapturous|positive|positive|
rapturously|positive|positive|
rascal|negative|negative|
rascals|negative|negative|
rather|neutral|neutral|
rattled|negative|negative|
rattles|negative|negative|
razor-sharp|positive|positive|
reachable|positive|positive|
readable|positive|positive|
reaffirm|positive|positive|
real|positive|positive|
realizable|positive|positive|
really|neutral|neutral|
reasoned|positive|positive|
recession|negative|negative|
recklessly|negative|negative|
recklessness|negative|negative|
recognizable|neutral|neutral|
recomend|positive|positive|
recommendable|positive|positive|
recommendation|positive|positive|
recommended|positive|positive|
recovery|positive|positive|
rectified|negative|negative|
redemption|positive|positive|
redicule|negative|negative|
redundancy|negative|negative|
refinement|positive|positive|
reformed|positive|positive|
reforming|positive|positive|
reforms|positive|positive|
refreshed|positive|positive|
refund|positive|positive|
refunded|positive|positive|
refused|negative|negative|
refuses|negative|negative|
refusing|negative|negative|
refuted|negative|negative|
refutes|negative|negative|
refuting|negative|negative|
regard|positive|positive|
regardless|neutral|neutral|
regardlessly|neutral|neutral|
regression|negative|negative|
regretable|negative|negative|
regreted|negative|negative|
regretful|negative|negative|
regretfully|negative|negative|
regrets|negative|negative|
regrettable|negative|negative|
regrettably|negative|negative|
regretted|negative|negative|
rejected|negative|negative|
rejecting|negative|negative|
rejects|negative|negative|
rejoicing|positive|positive|
rejoicingly|positive|positive|
rejuvenate|positive|positive|
rejuvenated|positive|positive|
rejuvenating|positive|positive|
relentless|negative|negative|
relentlessly|negative|negative|
relentlessness|negative|negative|
relxed|positive|positive|
remarkable|positive|positive|
remarkably|positive|positive|
remedy|positive|positive|
remission|positive|positive|
remorse|negative|negative|
remorseful|negative|negative|
remorsefully|negative|negative|
remorselessly|negative|negative|
remorselessness|negative|negative|
renaissance|positive|positive|
renege|negative|negative|
reneging|negative|negative|
renewed|positive|positive|
renown|positive|positive|
renunciation|negative|negative|
repeatedly|negative|negative|
replaceable|positive|positive|
reprehensible|negative|negative|
reprehensibly|negative|negative|
reprehension|negative|negative|
reprovingly|negative|negative|
repugnance|negative|negative|
repugnantly|negative|negative|
repulsed|negative|negative|
repulsing|negative|negative|
repulsive|negative|negative|
repulsively|negative|negative|
repulsiveness|negative|negative|
reputation|positive|positive|
resignation|negative|negative|
resourcefulness|positive|positive|
respected|positive|positive|
respectful|positive|positive|
respectfully|positive|positive|
respite|positive|positive|
restlessness|negative|negative|
restorative|positive|positive|
restored|positive|positive|
restriction|negative|negative|
restructure|positive|positive|
restructured|positive|positive|
restructuring|positive|positive|
retarded|negative|negative|
retardedness|negative|negative|
retards|negative|negative|
retractable|positive|positive|
retreated|negative|negative|
reveal|neutral|neutral|
revelatory|neutral|neutral|
revengefully|negative|negative|
reverence|positive|positive|
revival|positive|positive|
revives|positive|positive|
revolting|negative|negative|
revoltingly|negative|negative|
revolutionary|positive|positive|
revolutionize|positive|positive|
revolutionized|positive|positive|
revolutionizes|positive|positive|
revulsion|negative|negative|
rewarding|positive|positive|
rewardingly|positive|positive|
ricer|negative|negative|
richer|positive|positive|
richness|positive|positive|
ridicules|negative|negative|
ridiculous|negative|negative|
ridiculously|negative|negative|
rigamarole|negative|negative|
righteously|positive|positive|
righteousness|positive|positive|
rightly|positive|positive|
rigidity|negative|negative|
rigidness|negative|negative|
riled|negative|negative|
rip-off|negative|negative|
ripoff|negative|negative|
ripped|negative|negative|
risks|negative|negative|
rivalry|negative|negative|
robbed|negative|negative|
rock-star|positive|positive|
rock-stars|positive|positive|
rockstar|positive|positive|
rockstars|positive|positive|
romantic|positive|positive|
romantically|positive|positive|
roomier|positive|positive|
roomy|positive|positive|
rremediable|negative|negative|
rubbery|negative|negative|
rubbish|negative|negative|
rudely|negative|negative|
rudest|negative|negative|
ruffian|negative|negative|
ruined|negative|negative|
ruining|negative|negative|
ruins|negative|negative|
runaround|negative|negative|
rust|negative|negative|
rustic|positive|positive|
rusts|negative|negative|
rut|negative|negative|
ruthlessly|negative|negative|
ruthlessness|negative|negative|
ruts|negative|negative|
sack|negative|negative|
sacrificed|negative|negative|
sacrilegious|negative|negative|
sacriligious|negative|negative|
sad|negative|negative|
sadly|negative|negative|
sadness|negative|negative|
safely|positive|positive|
sagacity|positive|positive|
sagged|negative|negative|
sagging|negative|negative|
saggy|negative|negative|
sags|negative|negative|
saint|positive|positive|
saintliness|positive|positive|
sarcasm|negative|negative|
satisfied|positive|positive|
satisfies|positive|positive|
satisified|positive|positive|
savagely|negative|negative|
savagery|negative|negative|
savages|negative|negative|
saver|positive|positive|
savings|neutral|positive|
savior|positive|positive|
savory|positive|positive|
scaly|negative|negative|
scam|negative|negative|
scammin|negative
scams|negative|negative|
scandalous|negative|negative|
scandalously|negative|negative|
scandals|negative|negative|
scandel|negative|negative|
scandels|negative|negative|
scapegoat|negative|negative|
scarcely|negative|negative|
scarcity|negative|negative|
scarily|negative|negative|
scary|negative|negative|
scathingly|negative|negative|
sceptical|negative|negative|
sceptically|negative|negative|
scheming|negative|negative|
scoffingly|negative|negative|
scolded|negative|negative|
scolding|negative|negative|
scoldingly|negative|negative|
scorching|negative|negative|
scorchingly|negative|negative|
scornful|negative|negative|
scornfully|negative|negative|
scoundrel|negative|negative|
scourge|negative|negative|
scramble|negative|negative|
scrambled|negative|negative|
scrambles|negative|negative|
scrambling|negative|negative|
scrap|negative|negative|
scratch|negative|negative|
scratched|negative|negative|
scratches|negative|negative|
scratchy|negative|negative|
screw-up|negative|negative|
screwed|negative|negative|
screwed-up|negative|negative|
screwup|negative|negative|
screwups|negative|negative|
screwy|negative|negative|
screwy|negative|negative|
scrumptious|negative|negative|
scrupulously|positive|positive|
scuff|negative|negative|
scuffs|negative|negative|
scum|negative|negative|
seem|neutral|neutral|
seemingly|neutral|neutral|
self-interested|negative|negative|
self-respect|positive|positive|
selfinterested|negative|negative|
selfish|negative|negative|
selfishly|negative|negative|
semi-retarded|negative|negative|
sensational|positive|positive|
sensationalize|negative|negative|
sensationally|positive|positive|
senselessly|negative|negative|
sensible|positive|positive|
sensibly|positive|positive|
sensitively|positive|positive|
sentimentality|positive|positive|
sentimentally|positive|positive|
sentiments|positive|positive|
serenity|positive|positive|
serious|negative|negative|
seriously|negative|negative|
seriousness|negative|negative|
servitude|negative|negative|
setback|negative|negative|
setbacks|negative|negative|
severe|negative|negative|
severely|negative|negative|
severity|negative|negative|
shaft|negative|negative|
shamefully|negative|negative|
shamefulness|negative|negative|
shamelessly|negative|negative|
shamelessness|negative|negative|
shark|negative|negative|
sharper|positive|positive|
sharpest|positive|positive|
shemale|negative|negative|
shimmer|positive|positive|
shimmering|positive|positive|
shimmeringly|positive|positive|
shimmy|negative|negative|
shine|positive|positive|
shiny|positive|positive|
shipwreck|negative|negative|
shirker|negative|negative|
shit|negative|negative|
shithead|negative|negative|
shitheads|negative|negative|
shittiest|negative|negative|
shitty|negative|negative|
shocked|negative|negative|
shockingly|negative|negative|
shortage|negative|negative|
shortchanged|negative|negative|
shortcoming|negative|negative|
shortcomings|negative|negative|
shortness|negative|negative|
shortsighted|negative|negative|
shortsightedness|negative|negative|
should|neutral|neutral|
show|neutral|neutral|
shrew|negative|negative|
shrilly|negative|negative|
sickening|negative|negative|
sickeningly|negative|negative|
sickness|negative|negative|
siege|negative|negative|
silent|positive|positive|
sillily|negative|negative|
silly|negative|negative|
simpler|positive|positive|
simplest|positive|positive|
simplifies|positive|positive|
simplifying|positive|positive|
simplistically|negative|negative|
simply|neutral|neutral|
sincerely|positive|positive|
sinisterly|negative|negative|
sink|negative|negative|
skeptic|negative|negative|
skeptically|negative|negative|
skinny|negative|negative|
skittish|negative|negative|
skittishly|negative|negative|
skyrocketed|negative|negative|
slammed|negative|negative|
slammin|positive|positive|
slamming|negative|negative|
slanderer|negative|negative|
slanderously|negative|negative|
slave|negative|negative|
slick|positive|positive|
slime|negative|negative|
slog|negative|negative|
slogged|negative|negative|
slogging|negative|negative|
slogs|negative|negative|
sloooooooooooooow|negative|negative|
sloooow|negative|negative|
slooow|negative|negative|
sloow|negative|negative|
sloth|negative|negative|
slowed|negative|negative|
slower|negative|negative|
slowest|negative|negative|
sloww|negative|negative|
slowww|negative|negative|
slowwww|negative|negative|
slug|negative|negative|
slumping|negative|negative|
slumpping|negative|negative|
slur|negative|negative|
slut|negative|negative|
sluts|negative|negative|
smallish|negative|negative|
smartest|positive|positive|
smartly|positive|positive|
smell|negative|negative|
smelled|negative|negative|
smelling|negative|negative|
smells|negative|negative|
smelly|negative|negative|
smelt|negative|negative|
smiles|positive|positive|
smoke|negative|negative|
smoother|positive|positive|
smoothes|positive|positive|
smoothest|positive|positive|
smoothly|positive|positive|
smouldering|negative|negative|
smudge|negative|negative|
smudged|negative|negative|
smudges|negative|negative|
smudging|negative|negative|
smut|negative|negative|
snag|negative|negative|
snagged|negative|negative|
snagging|negative|negative|
snags|negative|negative|
snappish|negative|negative|
snappishly|negative|negative|
snappy|positive|positive|
snare|negative|negative|
snarky|negative|negative|
snazzy|positive|positive|
sneering|negative|negative|
sneeringly|negative|negative|
snippy|positive|positive|
snob|negative|negative|
snobbish|negative|negative|
snobby|negative|negative|
snobish|negative|negative|
snobs|negative|negative|
snoooty|negative|negative|
snooty|negative|negative|
snotty|negative|negative|
so|neutral|neutral|
so-called|negative|negative|
soapy|negative|negative|
soft|positive|positive|
softer|positive|positive|
solicitous|positive|positive|
solicitously|positive|positive|
solicitude|negative|negative|
soothing|positive|positive|
soothingly|positive|positive|
sophisicated|positive|positive|
sorely|negative|negative|
soreness|negative|negative|
sorrowful|negative|negative|
sorrowfully|negative|negative|
soulful|positive|positive|
sounding|negative|negative|
soundly|positive|positive|
soundness|positive|positive|
sparkle|positive|positive|
specifically|neutral|neutral|
spectactular|positive|positive|
spectacularly|positive|positive|
spellbinding|positive|positive|
spellbindingly|positive|positive|
spendy|negative|negative|
spew|negative|negative|
spewed|negative|negative|
spewing|negative|negative|
spews|negative|negative|
spinster|negative|negative|
spite|negative|negative|
spitefully|negative|negative|
spitefulness|negative|negative|
splatter|negative|negative|
splendidly|positive|positive|
splendor|positive|positive|
spoilage|negative|negative|
spoilages|negative|negative|
spoiled|negative|negative|
spoilled|negative|negative|
spoils|negative|negative|
spontaneous|positive|positive|
spookily|negative|negative|
spooky|negative|negative|
spoon-fed|negative|negative|
spoonfed|negative|negative|
sporty|positive|positive|
squabbling|negative|negative|
squeak|negative|negative|
squeaks|negative|negative|
squeaky|negative|negative|
squeal|negative|negative|
squealing|negative|negative|
squeals|negative|negative|
staggeringly|negative|negative|
stagnation|negative|negative|
stains|negative|negative|
stalemate|negative|negative|
stall|negative|negative|
stalls|negative|negative|
standout|positive|positive|
standstill|negative|negative|
starkly|negative|negative|
startling|negative|negative|
startlingly|negative|negative|
starvation|negative|negative|
state-of-the-art|positive|positive|
staunchly|positive|positive|
staunchness|positive|positive|
steadfastness|positive|positive|
steadiest|positive|positive|
steadiness|positive|positive|
stealing|negative|negative|
steals|negative|negative|
stellarly|positive|positive|
stench|negative|negative|
stereotype|negative|negative|
stereotypical|negative|negative|
stereotypically|negative|negative|
stiffness|negative|negative|
stifling|negative|negative|
stiflingly|negative|negative|
still|neutral|neutral|
stimulates|positive|positive|
stimulating|positive|positive|
stingy|negative|negative|
stinking|negative|negative|
stinks|negative|negative|
stinky|negative|negative|
stirringly|positive|positive|
stooge|negative|negative|
straggler|negative|negative|
straighten|positive|positive|
straining|negative|negative|
strange|negative|negative|
strangely|negative|negative|
stranger|negative|negative|
strangest|negative|negative|
streaky|negative|negative|
stresses|negative|negative|
strife|negative|negative|
strikingly|positive|positive|
stringy|negative|negative|
stronger|positive|positive|
strongest|positive|positive|
struggled|negative|negative|
struggles|negative|negative|
struggling|negative|negative|
stubbornness|negative|negative|
stuck|negative|negative|
stumble|negative|negative|
stumbled|negative|negative|
stumbles|negative|negative|
stumped|negative|negative|
stumps|negative|negative|
stunningly|positive|positive|
stunt|negative|negative|
stupendously|positive|positive|
stupid|negative|negative|
stupidest|negative|negative|
stupidity|negative|negative|
stupidly|negative|negative|
stupor|negative|negative|
sturdier|positive|positive|
stutter|negative|negative|
stuttered|negative|negative|
stuttering|negative|negative|
stutters|negative|negative|
stylized|positive|positive|
stymied|negative|negative|
suavely|positive|positive|
sub-par|negative|negative|
subjected|negative|negative|
subjection|negative|negative|
subjugation|negative|negative|
subpoena|negative|negative|
subpoenas|negative|negative|
subservience|negative|negative|
subsidized|positive|positive|
subsidizes|positive|positive|
subsidizing|positive|positive|
subversion|negative|negative|
succeeded|positive|positive|
succeeding|positive|positive|
succeeds|positive|positive|
succes|positive|positive|
successes|positive|positive|
such|neutral|neutral|
suck|negative|negative|
sucked|negative|negative|
sucker|negative|negative|
suckiest|negative|negative|
sucking|negative|negative|
sucks|negative|negative|
sucky|negative|negative|
sue|negative|negative|
sued|negative|negative|
sueing|negative|negative|
sues|negative|negative|
suffered|negative|negative|
sufferer|negative|negative|
suffers|negative|negative|
sufficed|positive|positive|
suffices|positive|positive|
sugar-coated|negative|negative|
sugarcoated|negative|negative|
suggest|neutral|positive|VH
suicide|negative|negative|
sumptuousness|positive|positive|
sunk|negative|negative|
sunken|negative|negative|
super|positive|positive|
superb|positive|positive|
superbly|positive|positive|
superficiality|negative|negative|
superstition|negative|negative|
supple|positive|positive|
supported|positive|positive|
supporting|positive|positive|
supports|positive|positive|
supposed|negative|negative|
supposing|neutral|neutral|
supurbly|positive|positive|
sure|neutral|positive|VH
surely|positive|positive|
surprising|neutral|neutral|
surprisingly|neutral|neutral|
surreal|positive|positive|
survival|positive|positive|
survivor|positive|positive|
suspicious|negative|negative|
suspiciously|negative|negative|
swamped|negative|negative|
swank|positive|positive|
swankier|positive|positive|
swankiest|positive|positive|
swanky|positive|positive|
sweaty|negative|negative|
sweeter|positive|positive|
sweetheart|positive|positive|
sweetness|positive|positive|
sweeeet|positive
swelled|negative|negative|
swelling|negative|negative|
swindled|negative|negative|
swollen|negative|negative|
sympathetically|negative|negative|
symptom|negative|negative|
symptoms|negative|negative|
tacky|negative|negative|
tainted|negative|negative|
talents|positive|positive|
tangle|negative|negative|
tangles|negative|negative|
tank|negative|negative|
tanked|negative|negative|
tanks|negative|negative|
tantalizing|positive|positive|
tantalizingly|positive|positive|
tantamount|neutral|neutral|
tantrum|negative|negative|
tarnished|negative|negative|
tarnishes|negative|negative|
tarnishing|negative|negative|
taseless|negative|negative|
tastable|negative|negative|
taste|positive|positive|
tasteful|positive|positive|
tasteless|negative|negative|
tastey|positive|positive|
tasty|positive|positive|
tattered|negative|negative|
taunting|negative|negative|
tauntingly|negative|negative|
taunts|negative|negative|
taut|negative|negative|
taxing|negative|negative|
teasingly|negative|negative|
temerity|negative|negative|
tempest|negative|negative|
temptation|negative|negative|
tempting|positive|positive|
temptingly|positive|positive|
tenaciously|positive|positive|
tenacity|positive|positive|
tenderness|negative|negative|
terrible|negative|negative|
terribleness|negative|negative|
terribly|negative|negative|
terrific|positive|positive|
terrifically|positive|positive|
terrifying|positive|positive|
terrifyingly|positive|positive|
terror|negative|negative|
terrorism|negative|negative|
testable|negative|negative|
testily|negative|negative|
testy|negative|negative|
tetchily|negative|negative|
tetchy|negative|negative|
thankful|positive|positive|
thankfully|positive|positive|
thankless|negative|negative|
therefore|neutral|neutral|
thicker|negative|negative|
thinner|positive|positive|
though|neutral|neutral|
thoughtfulness|positive|positive|
thoughtlessly|negative|negative|
thoughtlessness|negative|negative|
threesome|negative|negative|
thrift|positive|positive|
thrilled|positive|positive|
thrilling|positive|positive|
thrillingly|positive|positive|
thrills|positive|positive|
throb|negative|negative|
throbbed|negative|negative|
throbbing|negative|negative|
throbs|negative|negative|
throttled|negative|negative|
thug|neutral|negative|
thumb-down|negative|negative|
thumb-up|positive|positive|
thumbs-down|negative|negative|
thumbs-up|positive|positive|
thus|neutral|neutral|
thusly|neutral|neutral|
time-consuming|negative|negative|
timidity|negative|negative|
timidness|negative|negative|
tin-y|negative|negative|
tingled|negative|negative|
tingling|negative|negative|
tiringly|negative|negative|
titillating|positive|positive|
titillatingly|positive|positive|
togetherness|positive|positive|
tolerantly|positive|positive|
toll-free|positive|positive|
tollerable|negative|negative|
too|neutral|negative|VH
top-heavy|negative|negative|
top-notch|positive|positive|
top-quality|positive|positive|
topnotch|positive|positive|
tops|positive|positive|
torrent|negative|negative|
torrid|positive|positive|
torridly|positive|positive|
tortures|negative|negative|
torturing|negative|negative|
torturously|negative|negative|
tough|neutral|positive|
tougher|neutral|positive|
toughest|positive|positive|
tout|negative|negative|
touted|negative|negative|
touts|negative|negative|
traction|positive|positive|
tragically|negative|negative|
traitor|negative|negative|
traitorously|negative|negative|
tramp|negative|negative|
transgression|negative|negative|
transparent|positive|positive|
traped|negative|negative|
trapped|negative|negative|
trash|negative|negative|
trashed|negative|negative|
trashy|negative|negative|
traumatic|negative|negative|
traumatically|negative|negative|
travesties|negative|negative|
treachery|negative|negative|
treason|negative|negative|
tremendous|positive|positive|
tremendously|positive|positive|
tricked|negative|negative|
trickery|negative|negative|
triumphantly|positive|positive|
trivially|negative|negative|
trophy|positive|positive|
trouble|negative|negative|
trouble-free|positive|positive|
troubled|negative|negative|
troubles|negative|negative|
troublesome|negative|negative|
troublesomely|negative|negative|
troubling|negative|negative|
troublingly|negative|negative|
truculently|positive|positive|
true|positive|positive|
truly|positive|positive|
trusted|positive|positive|
trusting|positive|positive|
trustingly|positive|positive|
trustworthiness|positive|positive|
trusty|positive|positive|
truth|positive|positive|
truthfulness|positive|positive|
tumble|negative|negative|
tumbled|negative|negative|
tumbles|negative|negative|
turmoil|negative|negative|
twinkly|positive|positive|
two-faced|negative|negative|
two-faces|negative|negative|
tyrannically|negative|negative|
tyranny|negative|negative|
tyrant|negative|negative|
ugh|negative|negative|
uglier|negative|negative|
ugliest|negative|negative|
ultimate|positive|positive|
ultimately|positive|positive|
ultimatum|negative|negative|
ultra-crisp|positive|positive|
umbarrable|negative|negative|
un-viewable|negative|negative|
unabashedly|positive|positive|
unaccepatable|negative|negative|
unacceptablely|negative|negative|
unacceptably|negative|negative|
unaccessible|negative|negative|
unachievable|negative|negative|
unaffected|neutral|positive|
unaffordable|negative|negative|
unanswered|negative|negative|
unapologetic|negative|negative|
unappealing|negative|negative|
unappetizing|negative|negative|
unattentive|negative|negative|
unauthorized|negative|negative|
unbeatable|positive|positive|
unbelievable|negative|negative|
unbelievably|negative|negative|
uncaring|negative|negative|
uncomfortably|negative|negative|
uncomfy|negative|negative|
uncommonly|positive|positive|
uncomplicated|positive|positive|
uncompromisingly|negative|negative|
unconvincingly|negative|negative|
uncool|negative|negative|
uncooperative|negative|negative|
uncreative|negative|negative|
undamaged|positive|positive|
undependability|negative|negative|
undercharged|positive|positive|
undercut|negative|negative|
undercuts|negative|negative|
undercutting|negative|negative|
undermined|negative|negative|
undermines|negative|negative|
undermining|negative|negative|
underpowered|negative|negative|
undersized|negative|negative|
understaffed|negative|negative|
understated|positive|positive|
understatedly|positive|positive|
underwhelming|negative|negative|
undisputable|positive|positive|
undisputably|positive|positive|
undissolved|negative|negative|
uneasily|negative|negative|
unenthusiastic|negative|negative|
unequal|negative|negative|
unequaled|positive|positive|
unequivocal|positive|positive|
unequivocally|positive|positive|
unexceptable|negative|negative|
unexpectedly|negative|negative|
unfamiliar|negative|negative|
unfavorable|negative|negative|
unfazed|positive|positive|
unflavored|negative|negative|
unflavorful|negative|negative|
unforgivable|negative|negative|
unforgiveable|negative|negative|
unforgiving|negative|negative|
unfortunate|negative|negative|
unfortunatelty|negative|negative|
unfortunately|negative|negative|
unfortunatley|negative|negative|
unhappiness|negative|negative|
unheard|negative|negative|
unhelpful|negative|negative|
unimaginably|negative|negative|
unimpressed|negative|negative|
unimpressive|negative|negative|
uninspired|negative|negative|
unintelligible|negative|negative|
unintelligile|negative|negative|
uninterested|negative|negative|
unintrusive|negative|negative|
unjustifiably|negative|negative|
unjustly|negative|negative|
unknown|negative|negative|
unlamentable|negative|negative|
unlamentably|negative|negative|
unlikely|negative|negative|
unmatched|positive|positive|
unmemorable|negative|negative|
unnatural|negative|negative|
unnaturally|negative|negative|
unnerving|negative|negative|
unnervingly|negative|negative|
unntrusive|negative|negative|
unobtrusive|negative|negative|
unorganized|negative|negative|
unorthodoxy|negative|negative|
unprecedented|negative|negative|
unprofessional|negative|negative|
unproffesional|negative|negative|
unprove|negative|negative|
unproved|negative|negative|
unproven|negative|negative|
unproves|negative|negative|
unproving|negative|negative|
unquestionable|positive|positive|
unquestionably|positive|positive|
unreachable|negative|negative|
unreadable|negative|negative|
unreal|positive|positive|
unreasonable|negative|negative|
unreasonably|negative|negative|
unrelenting|negative|negative|
unrelentingly|negative|negative|
unremarkable|negative|negative|
unresponsive|negative|negative|
unrest|negative|negative|
unrivaled|positive|positive|
unsanitary|negative|negative|
unsanitrary|negative|negative|
unsatisfied|negative|negative|
unsatisfying|negative|negative|
unsatsfactory|negative|negative|
unscrupulously|negative|negative|
unseasoned|negative|negative|
unsecure|negative|negative|
unseemly|negative|negative|
unsettling|negative|negative|
unsettlingly|negative|negative|
unsteadiness|negative|negative|
unsupportive|negative|negative|
unsurpassed|negative|negative|
unsweet|negative|negative|
unthinkably|negative|negative|
untrue|negative|negative|
unusable|negative|negative|
unusably|negative|negative|
unuseable|negative|negative|
unuseably|negative|negative|
unusual|negative|negative|
unusually|negative|negative|
unviewable|negative|negative|
unwatchable|negative|negative|
unwavering|positive|positive|
unwelcome|negative|negative|
unwell|negative|negative|
unwillingness|negative|negative|
upgradable|positive|positive|
upgradeable|positive|positive|
upgraded|positive|positive|
upheaval|negative|negative|
uplifting|positive|positive|
upliftingly|positive|positive|
uprising|negative|negative|
uproar|negative|negative|
uproarious|negative|negative|
uproariously|negative|negative|
uproarously|negative|negative|
upseting|negative|negative|
upsets|negative|negative|
upsetting|negative|negative|
upsettingly|negative|negative|
useable|positive|positive|
user-friendly|positive|positive|
user-replaceable|positive|positive|
usurper|negative|negative|
utterly|negative|negative|
vagrant|negative|negative|
vagueness|negative|negative|
valiantly|positive|positive|
valor|positive|positive|
valuable|positive|positive|
vanity|negative|negative|
variety|positive|positive|
vehement|negative|negative|
vehemently|negative|negative|
vengeance|negative|negative|
vengeful|negative|negative|
vengefully|negative|negative|
vengefulness|negative|negative|
venomously|negative|negative|
versatility|positive|positive|
very|neutral|neutral|
vex|negative|negative|
vexation|negative|negative|
vexing|negative|negative|
vexingly|negative|negative|
vibrantly|positive|positive|
vibrate|negative|negative|
vibrated|negative|negative|
vibrates|negative|negative|
vibrating|negative|negative|
vibration|negative|negative|
vice|negative|negative|
viciously|negative|negative|
viciousness|negative|negative|
victim|negative|negative|
viewable|positive|positive|
vigilance|positive|positive|
vileness|negative|negative|
villainous|negative|negative|
villainously|negative|negative|
villian|negative|negative|
villianously|negative|negative|
vindictive|negative|negative|
vindictively|negative|negative|
vindictiveness|negative|negative|
violated|negative|negative|
violation|negative|negative|
violators|negative|negative|
viper|negative|negative|
virtue|positive|positive|
virulence|negative|negative|
virulently|negative|negative|
vociferously|negative|negative|
volatility|negative|negative|
vomited|negative|negative|
vomiting|negative|negative|
vomits|negative|negative|
wack|negative|negative|
wacky|negative|negative|
waist|negative|negative|
wariness|negative|negative|
warmer|positive|positive|
warmth|positive|positive|
warned|negative|negative|
washed-out|negative|negative|
wasted|negative|negative|
wastefulness|negative|negative|
wasting|negative|negative|
water-down|negative|negative|
watered-down|negative|negative|
watery|negative|negative|
weaker|negative|negative|
weariness|negative|negative|
weed|negative|negative|
welcome|positive|positive|
welcomed|positive|positive|
welcoming|positive|positive|
well-backlit|positive|positive|
well-balanced|positive|positive|
well-behaved|positive|positive|
well-bred|positive|positive|
well-known|positive|positive|
well-made|positive|positive|
well-mannered|positive|positive|
well-rounded|positive|positive|
